training size,testing size,loss function,batch size,learning rate,epoch,control trainning accuracy,copy trainning accuracy,control testing accuracy,copy testing accuracy
100,9900,BCELoss,50,7e-05,100,0.8,0.79,0.6435353535353535,0.6519191919191919
100,9900,BCELoss,50,7e-05,200,0.91,0.85,0.7116161616161616,0.7346464646464647
100,9900,BCELoss,50,7e-05,200,0.91,0.85,0.7363636363636363,0.7318181818181818
100,9900,BCELoss,50,7e-05,200,0.95,0.86,0.7684848484848484,0.7080808080808081
100,9900,BCELoss,50,7e-05,200,0.98,0.8,0.7493939393939394,0.7421212121212121
100,9900,BCELoss,50,7e-05,200,0.94,0.89,0.7249494949494949,0.7281818181818182
100,9900,BCELoss,50,7e-05,200,0.98,0.92,0.7485858585858586,0.7526262626262626
100,9900,BCELoss,50,7e-05,200,0.98,0.91,0.7497979797979798,0.7170707070707071
100,9900,BCELoss,50,7e-05,200,0.99,0.91,0.7290909090909091,0.7032323232323232
100,9900,BCELoss,50,7e-05,200,1.0,0.86,0.7732323232323233,0.7547474747474747
100,9900,BCELoss,50,7e-05,200,0.99,0.78,0.7550505050505051,0.7422222222222222
100,9900,BCELoss,50,0.0001,50,0.64,0.78,0.4813131313131313,0.6122222222222222
100,9900,BCELoss,50,0.0001,50,0.74,0.73,0.5341414141414141,0.5558585858585858
100,9900,BCELoss,50,0.0001,50,0.59,0.74,0.41454545454545455,0.6047474747474747
100,9900,BCELoss,50,0.0001,50,0.71,0.68,0.5288888888888889,0.5392929292929293
100,9900,BCELoss,50,0.0001,50,0.72,0.75,0.5452525252525252,0.5742424242424242
100,9900,BCELoss,50,0.0001,50,0.62,0.7,0.4496969696969697,0.5055555555555555
100,9900,BCELoss,50,0.0001,50,0.56,0.83,0.4224242424242424,0.5658585858585858
100,9900,BCELoss,50,0.0001,50,0.6,0.84,0.4727272727272727,0.6471717171717172
100,9900,BCELoss,50,0.0001,50,0.79,0.86,0.5468686868686868,0.5996969696969697
100,9900,BCELoss,50,0.0001,50,0.62,0.79,0.4482828282828283,0.6168686868686869
100,9900,BCELoss,50,0.0001,100,0.94,0.79,0.7086868686868687,0.6673737373737374
100,9900,BCELoss,50,0.0001,100,0.86,0.73,0.71,0.687979797979798
100,9900,BCELoss,50,0.0001,100,0.88,0.86,0.7197979797979798,0.693939393939394
100,9900,BCELoss,50,0.0001,100,0.89,0.86,0.7260606060606061,0.7297979797979798
100,9900,BCELoss,50,0.0001,100,0.93,0.9,0.7260606060606061,0.7297979797979798
100,9900,BCELoss,50,0.0001,100,0.96,0.86,0.7158585858585859,0.7290909090909091
100,9900,BCELoss,50,0.0001,100,0.87,0.85,0.7002020202020202,0.7408080808080808
100,9900,BCELoss,50,0.0001,100,0.97,0.88,0.7261616161616161,0.7070707070707071
100,9900,BCELoss,50,0.0001,100,0.86,0.85,0.6729292929292929,0.7412121212121212
100,9900,BCELoss,50,0.0001,100,0.87,0.87,0.6962626262626262,0.7325252525252526
100,9900,BCELoss,50,0.0001,200,1.0,0.84,0.757979797979798,0.737979797979798
100,9900,BCELoss,50,0.0001,200,0.99,0.8,0.7596969696969696,0.7070707070707071
100,9900,BCELoss,50,0.0001,200,1.0,0.91,0.7824242424242425,0.7552525252525253
100,9900,BCELoss,50,0.0001,200,0.99,0.84,0.7606060606060606,0.7311111111111112
100,9900,BCELoss,50,0.0001,200,0.99,0.83,0.7642424242424243,0.7090909090909091
100,9900,BCELoss,50,0.0001,200,1.0,0.86,0.7836363636363637,0.7488888888888889
100,9900,BCELoss,50,0.0001,200,0.99,0.85,0.7543434343434343,0.7495959595959596
100,9900,BCELoss,50,0.0001,200,0.97,0.87,0.7578787878787879,0.7357575757575757
100,9900,BCELoss,50,0.0001,200,0.99,0.8,0.74989898989899,0.7251515151515151
100,9900,BCELoss,50,0.0001,200,0.99,0.87,0.7622222222222222,0.721919191919192
100,9900,BCELoss,100,1e-05,50,0.14,0.1,0.08414141414141414,0.09737373737373738
100,9900,BCELoss,100,1e-05,50,0.21,0.19,0.12616161616161617,0.15121212121212121
100,9900,BCELoss,100,1e-05,50,0.25,0.1,0.16565656565656567,0.10171717171717172
100,9900,BCELoss,100,1e-05,50,0.22,0.16,0.12222222222222222,0.11545454545454545
100,9900,BCELoss,100,1e-05,50,0.12,0.1,0.1098989898989899,0.1101010101010101
100,9900,BCELoss,100,1e-05,50,0.2,0.15,0.132020202020202,0.1195959595959596
100,9900,BCELoss,100,1e-05,50,0.18,0.07,0.12646464646464647,0.07696969696969697
100,9900,BCELoss,100,1e-05,50,0.12,0.12,0.12595959595959597,0.11181818181818182
100,9900,BCELoss,100,1e-05,50,0.16,0.12,0.11787878787878787,0.1192929292929293
100,9900,BCELoss,100,1e-05,50,0.12,0.13,0.11313131313131314,0.12151515151515152
100,9900,BCELoss,100,1e-05,100,0.19,0.09,0.15161616161616162,0.12333333333333334
100,9900,BCELoss,100,1e-05,100,0.27,0.09,0.208989898989899,0.09292929292929293
100,9900,BCELoss,100,1e-05,100,0.21,0.24,0.16414141414141414,0.16464646464646465
100,9900,BCELoss,100,1e-05,100,0.24,0.19,0.1711111111111111,0.16333333333333333
100,9900,BCELoss,100,1e-05,100,0.23,0.2,0.1686868686868687,0.1707070707070707
100,9900,BCELoss,100,1e-05,100,0.21,0.2,0.1416161616161616,0.1193939393939394
100,9900,BCELoss,100,1e-05,100,0.17,0.26,0.1298989898989899,0.17626262626262626
100,9900,BCELoss,100,1e-05,100,0.12,0.19,0.10616161616161617,0.15676767676767678
100,9900,BCELoss,100,1e-05,100,0.2,0.19,0.16464646464646465,0.1505050505050505
100,9900,BCELoss,100,1e-05,100,0.27,0.13,0.1398989898989899,0.12616161616161617
100,9900,BCELoss,100,1e-05,200,0.25,0.44,0.17464646464646463,0.2809090909090909
100,9900,BCELoss,100,1e-05,200,0.34,0.33,0.2680808080808081,0.2642424242424242
100,9900,BCELoss,100,1e-05,200,0.37,0.37,0.25212121212121213,0.2223232323232323
100,9900,BCELoss,100,1e-05,200,0.35,0.36,0.27656565656565657,0.2388888888888889
100,9900,BCELoss,100,1e-05,200,0.49,0.39,0.29888888888888887,0.2611111111111111
100,9900,BCELoss,100,1e-05,200,0.41,0.25,0.29323232323232323,0.2196969696969697
100,9900,BCELoss,100,1e-05,200,0.38,0.39,0.23383838383838385,0.2288888888888889
100,9900,BCELoss,100,1e-05,200,0.35,0.24,0.19585858585858587,0.16646464646464645
100,9900,BCELoss,100,1e-05,200,0.41,0.24,0.3103030303030303,0.21232323232323233
100,9900,BCELoss,100,1e-05,200,0.34,0.39,0.24888888888888888,0.29323232323232323
100,9900,BCELoss,100,3e-05,50,0.2,0.28,0.1590909090909091,0.17646464646464646
100,9900,BCELoss,100,3e-05,50,0.36,0.23,0.24343434343434345,0.13242424242424242
100,9900,BCELoss,100,3e-05,50,0.2,0.12,0.14545454545454545,0.11414141414141414
100,9900,BCELoss,100,3e-05,50,0.36,0.22,0.2402020202020202,0.1414141414141414
100,9900,BCELoss,100,3e-05,50,0.22,0.32,0.16353535353535353,0.22696969696969696
100,9900,BCELoss,100,3e-05,50,0.25,0.28,0.1594949494949495,0.16292929292929292
100,9900,BCELoss,100,3e-05,50,0.24,0.16,0.1798989898989899,0.10545454545454545
100,9900,BCELoss,100,3e-05,50,0.23,0.4,0.21696969696969698,0.2680808080808081
100,9900,BCELoss,100,3e-05,50,0.34,0.25,0.24828282828282827,0.20363636363636364
100,9900,BCELoss,100,3e-05,50,0.31,0.26,0.19787878787878788,0.16515151515151516
100,9900,BCELoss,100,3e-05,100,0.38,0.46,0.2785858585858586,0.35505050505050506
100,9900,BCELoss,100,3e-05,100,0.31,0.51,0.24242424242424243,0.4128282828282828
100,9900,BCELoss,100,3e-05,100,0.47,0.43,0.3016161616161616,0.321010101010101
100,9900,BCELoss,100,3e-05,100,0.51,0.42,0.3095959595959596,0.3614141414141414
100,9900,BCELoss,100,3e-05,100,0.24,0.59,0.17666666666666667,0.4127272727272727
100,9900,BCELoss,100,3e-05,100,0.41,0.45,0.2516161616161616,0.3388888888888889
100,9900,BCELoss,100,3e-05,100,0.49,0.61,0.3328282828282828,0.4348484848484849
100,9900,BCELoss,100,3e-05,100,0.35,0.45,0.26232323232323235,0.25676767676767676
100,9900,BCELoss,100,3e-05,100,0.43,0.44,0.2911111111111111,0.2731313131313131
100,9900,BCELoss,100,3e-05,100,0.49,0.51,0.3522222222222222,0.33434343434343433
100,9900,BCELoss,100,3e-05,200,0.6,0.7,0.43676767676767675,0.5237373737373737
100,9900,BCELoss,100,3e-05,200,0.69,0.7,0.5316161616161617,0.4723232323232323
100,9900,BCELoss,100,3e-05,200,0.61,0.76,0.47878787878787876,0.566060606060606
100,9900,BCELoss,100,3e-05,200,0.64,0.71,0.4711111111111111,0.5413131313131313
100,9900,BCELoss,100,3e-05,200,0.55,0.76,0.408989898989899,0.5354545454545454
100,9900,BCELoss,100,3e-05,200,0.69,0.76,0.4482828282828283,0.5244444444444445
100,9900,BCELoss,100,3e-05,200,0.68,0.68,0.5166666666666667,0.572020202020202
100,9900,BCELoss,100,3e-05,200,0.55,0.73,0.41494949494949496,0.5135353535353535
100,9900,BCELoss,100,3e-05,200,0.56,0.73,0.4261616161616162,0.5022222222222222
100,9900,BCELoss,100,3e-05,200,0.5,0.83,0.35333333333333333,0.5704040404040404
100,9900,BCELoss,100,5e-05,50,0.39,0.28,0.2871717171717172,0.23494949494949494
100,9900,BCELoss,100,5e-05,50,0.4,0.34,0.2549494949494949,0.23222222222222222
100,9900,BCELoss,100,5e-05,50,0.36,0.51,0.24505050505050505,0.3334343434343434
100,9900,BCELoss,100,5e-05,50,0.63,0.5,0.43595959595959594,0.25282828282828285
100,9900,BCELoss,100,5e-05,50,0.47,0.47,0.2903030303030303,0.30323232323232324
100,9900,BCELoss,100,5e-05,50,0.3,0.46,0.21494949494949495,0.29858585858585857
100,9900,BCELoss,100,5e-05,50,0.39,0.54,0.27070707070707073,0.2864646464646465
100,9900,BCELoss,100,5e-05,50,0.62,0.44,0.3711111111111111,0.2677777777777778
100,9900,BCELoss,100,5e-05,50,0.36,0.36,0.2636363636363636,0.24636363636363637
100,9900,BCELoss,100,5e-05,50,0.41,0.56,0.29777777777777775,0.38727272727272727
100,9900,BCELoss,100,5e-05,100,0.56,0.69,0.3808080808080808,0.5157575757575757
100,9900,BCELoss,100,5e-05,100,0.51,0.69,0.33141414141414144,0.5151515151515151
100,9900,BCELoss,100,5e-05,100,0.46,0.61,0.35555555555555557,0.4125252525252525
100,9900,BCELoss,100,5e-05,100,0.63,0.65,0.46464646464646464,0.44636363636363635
100,9900,BCELoss,100,5e-05,100,0.46,0.74,0.30242424242424243,0.4922222222222222
100,9900,BCELoss,100,5e-05,100,0.54,0.63,0.3474747474747475,0.3981818181818182
100,9900,BCELoss,100,5e-05,100,0.54,0.57,0.3525252525252525,0.42434343434343436
100,9900,BCELoss,100,5e-05,100,0.46,0.74,0.3373737373737374,0.5264646464646464
100,9900,BCELoss,100,5e-05,100,0.59,0.73,0.4401010101010101,0.4805050505050505
100,9900,BCELoss,100,5e-05,100,0.56,0.55,0.43303030303030304,0.42777777777777776
100,9900,BCELoss,100,5e-05,200,0.72,0.79,0.5658585858585858,0.6070707070707071
100,9900,BCELoss,100,5e-05,200,0.74,0.82,0.6192929292929293,0.6753535353535354
100,9900,BCELoss,100,5e-05,200,0.81,0.86,0.5907070707070707,0.704040404040404
100,9900,BCELoss,100,5e-05,200,0.78,0.82,0.5915151515151515,0.6738383838383838
100,9900,BCELoss,100,5e-05,200,0.73,0.86,0.6004040404040404,0.694040404040404
100,9900,BCELoss,100,5e-05,200,0.82,0.84,0.6061616161616161,0.6865656565656566
100,9900,BCELoss,100,5e-05,200,0.76,0.8,0.6325252525252525,0.6218181818181818
100,9900,BCELoss,100,5e-05,200,0.7,0.85,0.517979797979798,0.668989898989899
100,9900,BCELoss,100,5e-05,200,0.82,0.84,0.62,0.6552525252525252
100,9900,BCELoss,100,5e-05,200,0.84,0.79,0.6611111111111111,0.6562626262626262
100,9900,BCELoss,100,7e-05,50,0.47,0.52,0.327979797979798,0.37707070707070706
100,9900,BCELoss,100,7e-05,50,0.43,0.42,0.32131313131313133,0.3388888888888889
100,9900,BCELoss,100,7e-05,50,0.43,0.37,0.2872727272727273,0.2590909090909091
100,9900,BCELoss,100,7e-05,50,0.44,0.48,0.2797979797979798,0.301010101010101
100,9900,BCELoss,100,7e-05,50,0.42,0.63,0.3181818181818182,0.3431313131313131
100,9900,BCELoss,100,7e-05,50,0.44,0.58,0.30737373737373735,0.39646464646464646
100,9900,BCELoss,100,7e-05,50,0.44,0.56,0.29373737373737374,0.4287878787878788
100,9900,BCELoss,100,7e-05,50,0.35,0.5,0.286969696969697,0.3498989898989899
100,9900,BCELoss,100,7e-05,50,0.54,0.57,0.39474747474747474,0.42383838383838385
100,9900,BCELoss,100,7e-05,50,0.35,0.39,0.2692929292929293,0.26292929292929296
100,9900,BCELoss,100,7e-05,100,0.6,0.72,0.45707070707070707,0.5509090909090909
100,9900,BCELoss,100,7e-05,100,0.61,0.78,0.4806060606060606,0.5754545454545454
100,9900,BCELoss,100,7e-05,100,0.62,0.69,0.46111111111111114,0.507979797979798
100,9900,BCELoss,100,7e-05,100,0.71,0.78,0.5147474747474747,0.531010101010101
100,9900,BCELoss,100,7e-05,100,0.79,0.69,0.5994949494949495,0.5147474747474747
100,9900,BCELoss,100,7e-05,100,0.69,0.75,0.4590909090909091,0.5968686868686869
100,9900,BCELoss,100,7e-05,100,0.56,0.71,0.4354545454545454,0.5426262626262627
100,9900,BCELoss,100,7e-05,100,0.55,0.68,0.43414141414141416,0.5332323232323233
100,9900,BCELoss,100,7e-05,100,0.53,0.7,0.3932323232323232,0.5656565656565656
100,9900,BCELoss,100,7e-05,100,0.55,0.79,0.368989898989899,0.5667676767676768
100,9900,BCELoss,100,7e-05,200,0.84,0.85,0.654949494949495,0.6986868686868687
100,9900,BCELoss,100,7e-05,200,0.97,0.84,0.7231313131313132,0.6885858585858586
100,9900,BCELoss,100,7e-05,200,0.89,0.87,0.6989898989898989,0.6857575757575758
100,9900,BCELoss,100,7e-05,200,0.85,0.88,0.666969696969697,0.7376767676767677
100,9900,BCELoss,100,7e-05,200,0.92,0.86,0.7188888888888889,0.7472727272727273
100,9900,BCELoss,100,7e-05,200,0.88,0.86,0.6897979797979797,0.7268686868686869
100,9900,BCELoss,100,7e-05,200,0.82,0.82,0.6476767676767676,0.7218181818181818
100,9900,BCELoss,100,7e-05,200,0.91,0.87,0.6780808080808081,0.7083838383838383
100,9900,BCELoss,100,7e-05,200,0.87,0.78,0.7019191919191919,0.7061616161616162
100,9900,BCELoss,100,7e-05,200,0.87,0.84,0.6542424242424243,0.693939393939394
100,9900,BCELoss,100,0.0001,50,0.44,0.7,0.29787878787878785,0.4867676767676768
100,9900,BCELoss,100,0.0001,50,0.4,0.6,0.3406060606060606,0.506969696969697
100,9900,BCELoss,100,0.0001,50,0.55,0.77,0.3613131313131313,0.5011111111111111
100,9900,BCELoss,100,0.0001,50,0.51,0.62,0.36393939393939395,0.4495959595959596
100,9900,BCELoss,100,0.0001,50,0.58,0.58,0.4308080808080808,0.42868686868686867
100,9900,BCELoss,100,0.0001,50,0.43,0.56,0.3054545454545455,0.3993939393939394
100,9900,BCELoss,100,0.0001,50,0.61,0.61,0.4215151515151515,0.4504040404040404
100,9900,BCELoss,100,0.0001,50,0.42,0.66,0.3087878787878788,0.4763636363636364
100,9900,BCELoss,100,0.0001,50,0.56,0.69,0.42434343434343436,0.4950505050505051
